Message,UID,Channel,Category
The bot didn't do its nerd ass gay shit,744517089473200190,#community,insult
This man is a fucking gorilla,754656768025690126,#community,insult
u stfu gay ass u was asking for money u broke ass,752016092523659327,#doomsday-lfg-playstation,insult
yo ppl dont use mk II or yall fucking homosexual people,620783392291815429,#gta-online,insult
You mom so fat she is die,174752735290195970,#memes-and-shitposting,insult
you shut up gay man,720429328906715237,#gta-online,insult
Your a fat gay queer canadian cunt,806545095649132546,#gta-online,insult
ALREADY HAVE 4 PLAYER,299907540416724993,#gta-online,LFG
any car meets going on?,326945213086040065,#gta-vehicles,LFG
anyone got cayo i can do with on xbox im really low on money pls. just dm id u can thx.,772031465130426398,#gta-online,LFG
"anyone here looking to do free roam fun, racing and robbing stores, message me if so?",732099896277991456,#gta-online,LFG
Anyone wanna do Peter griffin aft farm?,434479295507726336,#gta-online,LFG
JOIN HUNTING PACK REMIX,299907540416724993,#gta-online,LFG
JOIN NOW,299907540416724993,#gta-online,LFG
JOIN PLS,299907540416724993,#gta-online,LFG
Petter griffin?,782500441626902548,#gta-online,LFG
Who wants to play,290364215326146591,#gta-online,LFG
DONT FUCK WITH TRYHARDS WE WILL COMMIT MASS GENOCIDE,412034264851415053,#gta-vehicles,threat
"get a knife, go ghost and go British on his ass",263711134878531586,#gta-online,threat
when it comes to insulting someone u better care or u gonna get that ass whipped one day,790775268263723039,#gta-online,threat
Bruh stop that gay shit,385680099845865484,#community,toxic
DONT FUCK WITH TRYHARDS WE WILL COMMIT MASS GENOCIDE,412034264851415052,#gta-vehicles,toxic
Dude imagine being that fucking gay,385680099845865485,#gta-online,toxic
Dumb n I g g a,541424853618655239,#cayo-perico-lfg-playstation,toxic
fat ass nigger fuck,660213269406941213,#casino-lfg-playstation,toxic
fuck all of u pussies,805803194550190110,#gta-online,toxic
fuck niggers,711316656814817350,#apartment-heist-lfg-xbox,toxic
Fuck off I hate you I stg,332199765918089217,#community,toxic
fuck weebs kill all weebs,507915709104390156,#anime,toxic
Fucking assholes is gay,304085355093688321,#gta-online,toxic
Gay bitch,669017405711974421,#community,toxic
gay shit,618716255658180609,#gta-online,toxic
"get a knife, go ghost and go British on his ass",263711134878531585,#gta-online,toxic
go kill u self u fucking joke,417109339455750154,#gta-online,toxic
how about you drop dead and do me a favor shut the fuck up or sew your mouth shut because no one wants to hear u or hear what you have to say,591496004776493068,#gta-online,toxic
How bout you go suck my dick with ya mothers lips and die,524397492230422569,#gta-online,toxic
i hate gays  i  hate gays i  hate gays  ban me bitch,756650911102795857,#gta-online,toxic
I hope the mods choke on piss and cum and die,786273583172550657,#gta-online,toxic
I swear I fucking want this bitch to die in a hole,758496368989306964,#gta-cayo-perico,toxic
i wil kil ur fat ass mum,456136031243337740,#gta-online,toxic
i will fuck all of ur mums till they choke on my fat sosig,700254785122598924,#community,toxic
idc ur black kill urself dumbass,689815372932579328,#gta-online,toxic
Nigga ,442494383728885772,#gta-online,toxic
NiggaNiggaNigga,758763344457891873,#transporation,toxic
nigger,474997780251934731,#community,toxic
NIGGER,713031035473887313,#community,toxic
nigger,453528574981439490,#community,toxic
nigger i will put my knee on u face,777217462478962689,#gta-online,toxic
Now go FACK yoself and die in a dirty little hole where you crawled from,804843357930389504,#gta-online,toxic
Ok gay fuck,385680099845865486,#gta-online,toxic
Plus stfu dumb ass nigga,541424853618655236,#cayo-perico-lfg-playstation,toxic
Shut up gayass,385680099845865487,#gta-online,toxic
shut up stupid ass nigga,806831306679123969,#gta-questions,toxic
STFU NIGGERRA,471416268973408256,#gta-online,toxic
Straight ass gays and homosex in there,385680099845865485,#gta-online,toxic
suck it niga,793239376523952141,#gta-online,toxic
Suck my dic n die bro,524397492230422572,#gta-online,toxic
that shit= gay,486289015247732777,#gta-online,toxic
The bot didn't do its nerd ass gay shit,744517089473200189,#community,toxic
they look dumb and gay,405955925569175552,#gta-online,toxic
This man is a fucking gorilla,754656768025690125,#community,toxic
u stfu gay ass u was asking for money u broke ass,752016092523659326,#doomsday-lfg-playstation,toxic
use a channel that you don't have to suck pp to be moved to,219051145883156481,#community,toxic
when it comes to insulting someone u better care or u gonna get that ass whipped one day,790775268263723038,#gta-online,toxic
yo ppl dont use mk II or yall fucking homosexual people,620783392291815427,#gta-online,toxic
you cant die but ur vehicles can bitch!!! hahaha,461971134078779422,#gta-online,toxic
You mom so fat she is die,174752735290195969,#memes-and-shitposting,toxic
you shut up gay man,720429328906715236,#gta-online,toxic
you're spitting on the gays that fought for your rights bitch come on,368105478875774976,#community,toxic
Your a fat gay queer canadian cunt,806545095649132545,#gta-online,toxic
Your gay kys,725650649110413312,#gta-online,toxic
toxic ass shut the fuck up bitch,683722401023787014,#cayo-perico-lfg-xbox,toxic
toxic ass shut the fuck up bitch,683722401023787015,#cayo-perico-lfg-xbox,insult
Yo im looking for people to do the final with me,638798410987732994,#gta-cayo-perico,LFG
wish I could slap your ass through the fucking screen annoying ass im blocking u,765640482277294081,#cayo-perico-lfg-xbox,toxic
wish I could slap your ass through the fucking screen annoying ass im blocking u,765640482277294082,#cayo-perico-lfg-xbox,insult
faggot,N/A,N/A,toxic
faggot,N/A,N/A,insult
faggot,N/A,N/A,identity_hate
beaner,N/A,N/A,toxic
beaner,N/A,N/A,insult
beaner,N/A,N/A,identity_hate
spick,N/A,N/A,toxic
spick,N/A,N/A,insult
spick,N/A,N/A,identity_hate
tranny,N/A,N/A,toxic
tranny,N/A,N/A,insult
tranny,N/A,N/A,identity_hate
trannies,N/A,N/A,toxic
trannies,N/A,N/A,insult
trannies,N/A,N/A,identity_hate
kike,N/A,N/A,toxic
kike,N/A,N/A,insult
kike,N/A,N/A,identity_hate
wetback,N/A,N/A,toxic
wetback,N/A,N/A,insult
wetback,N/A,N/A,identity_hate
jigaboo,N/A,N/A,toxic
jigaboo,N/A,N/A,insult
jigaboo,N/A,N/A,identity_hate
chink,N/A,N/A,toxic
chink,N/A,N/A,insult
chink,N/A,N/A,identity_hate
camel fucker,N/A,N/A,toxic
camel fucker,N/A,N/A,insult
camel fucker,N/A,N/A,identity_hate
faglord,N/A,N/A,toxic
faglord,N/A,N/A,insult
faglord,N/A,N/A,identity_hate
furfag,N/A,N/A,toxic
furfag,N/A,N/A,insult
furfag,N/A,N/A,identity_hate
gas the jews,N/A,N/A,toxic
gas the jews,N/A,N/A,insult
gas the jews,N/A,N/A,identity_hate
gook,N/A,N/A,toxic
gook,N/A,N/A,insult
gook,N/A,N/A,identity_hate
negro,N/A,N/A,toxic
negro,N/A,N/A,insult
negro,N/A,N/A,identity_hate
catamite,N/A,N/A,toxic
catamite,N/A,N/A,insult
catamite,N/A,N/A,identity_hate
assfagot,N/A,N/A,toxic
assfagot,N/A,N/A,insult
assfagot,N/A,N/A,identity_hate
ape fucker,N/A,N/A,toxic
ape fucker,N/A,N/A,insult
ape fucker,N/A,N/A,identity_hate
sand nigger,N/A,N/A,toxic
sand nigger,N/A,N/A,insult
sand nigger,N/A,N/A,identity_hate
sand fucker,N/A,N/A,toxic
sand fucker,N/A,N/A,insult
sand fucker,N/A,N/A,identity_hate
suck dick,361203955016925197,#gta-online,toxic
suck dick,361203955016925198,#gta-online,insult
shalom semite get the fuck out of here,N/A,N/A,toxic
shalom semite get the fuck out of here,N/A,N/A,insult
shalom semite get the fuck out of here,N/A,N/A,identity_hate
i will kill you you son of a bitch if you dont leave wikipedia,N/A,N/A,toxic
i will kill you you son of a bitch if you dont leave wikipedia,N/A,N/A,insult
i will kill you you son of a bitch if you dont leave wikipedia,N/A,N/A,threat
if you tell anyone i said this to you i will rape your jew family,N/A,N/A,toxic
if you tell anyone i said this to you i will rape your jew family,N/A,N/A,insult
if you tell anyone i said this to you i will rape your jew family,N/A,N/A,identity_hate
if you tell anyone i said this to you i will rape your jew family,N/A,N/A,threat
choke on a bagel you faggoty hymie cock sucker,N/A,N/A,toxic
choke on a bagel you faggoty hymie cock sucker,N/A,N/A,insult
choke on a bagel you faggoty hymie cock sucker,N/A,N/A,identity_hate
you better fucking die before i hunt you down and piss on your face,N/A,N/A,toxic
you better fucking die before i hunt you down and piss on your face,N/A,N/A,insult
you better fucking die before i hunt you down and piss on your face,N/A,N/A,threat
if you get me blocked for this i will find you and shoot you,N/A,N/A,toxic
if you get me blocked for this i will find you and shoot you,N/A,N/A,insult
if you get me blocked for this i will find you and shoot you,N/A,N/A,threat
i just want your jew fucking self gone you dumb motherfucking piece of shit g-d damn jew,N/A,N/A,toxic
i just want your jew fucking self gone you dumb motherfucking piece of shit g-d damn jew,N/A,N/A,insult
i just want your jew fucking self gone you dumb motherfucking piece of shit g-d damn jew,N/A,N/A,identity_hate
y'all a couple of cocksuckers,N/A,N/A,toxic
y'all a couple of cocksuckers,N/A,N/A,insult
you're a shitty little fucktard aren't you,N/A,N/A,toxic
you're a shitty little fucktard aren't you,N/A,N/A,insult
and do you think i give a flying fuck what some eurotrash asshole thinks,N/A,N/A,toxic
and do you think i give a flying fuck what some eurotrash asshole thinks,N/A,N/A,insult
i like penis fagggot,N/A,N/A,identity_hate
i like penis fagggot,N/A,N/A,toxic
White ass cracker bitch,N/A,N/A,toxic
White ass cracker bitch,N/A,N/A,insult
White ass cracker bitch,N/A,N/A,identity_hate
Terrorit bomb vest wearing brown fuck,N/A,N/A,toxic
Terrorit bomb vest wearing brown fuck,N/A,N/A,insult
Terrorit bomb vest wearing brown fuck,N/A,N/A,identity_hate
that nazi fuck finally fucks off,N/A,N/A,toxic
that nazi fuck finally fucks off,N/A,N/A,insult
that nazi fuck finally fucks off,N/A,N/A,identity_hate
a pair of jew hating weiner nazi,N/A,N/A,toxic
a pair of jew hating weiner nazi,N/A,N/A,insult
a pair of jew hating weiner nazi,N/A,N/A,identity_hate
"im hoping on gta online for the first time in awhile havnt even done the casino heist. got time all day to even do setups, im not looking for bank just want to play. lvl 63",667459595798839341,#gta-online,LFG
can anyone give me and arnuha some millions (money),678713703331397659,#gta-online,LFG
child molesting,515632049235820548,#community,toxic
Who want to play race with me and my friend?,630770654605475859,#community,LFG
Anyone wanna help with data breach heist?,552431632171270145,#gta-online,LFG
fucking suck my sweaty nuts,263789755320369153,#gta-vehicles,toxic
fucking suck my sweaty nuts,263789755320369154,#gta-vehicles,insult
you fat fucking bitch,809850265590562846,#gta-vehicles,toxic
you fat fucking bitch,809850265590562847,#gta-vehicles,insult
I am a registerd sex offender i stuck my dick into a blender your mom is a transgender you know that i be dominating my cock and balls are rotating so much ice on my wrist i could go skating,775795439692808213,#community,toxic
I am a registerd sex offender i stuck my dick into a blender your mom is a transgender you know that i be dominating my cock and balls are rotating so much ice on my wrist i could go skating,775795439692808214,#community,identity_hate
everybody now niggardly,793958544881614869,#gta-online,toxic
everybody now niggardly,793958544881614870,#gta-online,insult
everybody now niggardly,793958544881614871,#gta-online,identity_hate
black lives dont matter,670727236424302622,N/A,toxic
black lives dont matter,670727236424302622,N/A,insult
black lives dont matter,670727236424302622,N/A,identity_hate
you're such a dumb idiot retard why are u even here go away loser,N/A,N/A,toxic
you're such a dumb idiot retard why are u even here go away loser,N/A,N/A,insult
,,,
Anyone down to do Shotgun wedding? 3xp RP and Money,766774762092756994,#gta-online ,LFG
"CRIMINAL MASTER MIND, WE ARE COOL AND WANT MORE MONI ",772536838421741588,#gta-online ,LFG
everyone on that server should be lined up and shot,777782577192370186,#gta-online ,threat
everyone on that server should be lined up and shot,777782577192370186,#gta-online ,toxic
"can anyone do prison break -  plane with me and my friend, need one will be much appreciated hit dms if intrested!",765898179760750613,#gta-online ,LFG
"I'm part of a serious mafia rp that's hyper-realistic.  we usually play from 1700 EST onwards, but it can start earlier if we have enough people to start a session We're all 17+, it's a mature group- ItsJustFunkii#3345 leads the server, add him as a friend and message him for details!",780137625021317170,#community ,Advertising
hello idiots,811337718159900682,#gta-online ,Shitposting
hello bitches,811337718159900682,#gta-online ,Shitposting
i would fuck all of your mothers haaaard,811337718159900682,#gta-online ,Shitposting
omg guys please im sooo horny,811337718159900682,#gta-online ,Shitposting
hmm so u like sodomy?,811337718159900682,#gta-online ,Shitposting
puss in boots,811337718159900682,#gta-online ,Shitposting
piece of shit server,811337718159900682,#gta-online ,Shitposting
omg guys i want to fuc* michaels wife so hard,811337718159900682,#gta-online ,Shitposting
"I am sending you 1π! Pi is a new digital currency developed by Stanford PhDs, with over 10 million members worldwide. To claim your Pi, follow this link https://minepi.com/KamilKrm and use my username (KamilKrm) as your invitation code.",381094809340739594,#community,Advertising
( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°)( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°)( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°),478967436876709888,#gta-online,Spam
( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°) ( ͡° ͜ʖ ͡°),478967436876709888,#casino-lfg-pc,Spam
enyone wanna join my server DM ME,501997505576435713,#casino-lfg-playstation,Advertising
why are u talking retard,809015835980726272,#gta-online,toxic
why are u talking retard,809015835980726272,#gta-online,insult
"Hey, do you want to join a gaming organisation focused on having fun and helping our members grow? Welp, you looked in the right place, We Offer- + A consistent players who will happily play a game with you + We have Rust players, R6 players, CSGO players, Warzone players and a couple more! What we what from you- + Don't be toxic to staff + Read the rules + Have fun! Join Us! https://discord.gg/gfBPQzFqds DM Owner For More Info 𝒽𝓸𝓹𝓹𝑒𝓭#4933",738317474327560223,#apartment-heist-lfg-pc,Advertising
If anybody fall for this ur retarded,470501818330513423,#doomsday-lfg-playstation,toxic
If anybody fall for this ur retarded,470501818330513423,#doomsday-lfg-playstation,insult
"[Verse 1] Taco Bell nigga Burger King nigga McDonald's nigga Wendy's nigga Sonic nigga Bread nigga Egg nigga Sausage nigga Sandwich nigga Tomato nigga Corn nigga Beef nigga Pasta nigga Ramen nigga Milk nigga Pig nigga Chicken nigga Zucchini nigga Cranberry nigga Strawberry nigga Cake nigga Bagel nigga Pancake nigga Door frame nigga Floor nigga For sale nigga AutoZone nigga Lampshade nigga Outlet nigga Hoverboard nigga [Verse 2] Nigga carpet Nigga hotel Nigga motel Nigga crayon Nigga marker (will you stop?) Nigga Elmer's Glue nigga [?] nigga Car nigga [Verse 3] Bike nigga Motorbike nigga Skateboard nigga Scooter nigga Lake nigga River nigga Fish nigga Shark nigga Zipper nigga Kick Buttowski nigga Courage the Dog nigga Codename: Kids Next Door nigga, uh Cabbage nigga Alex nigga Gunther nigga Iron nigga Copper nigga Swiss cheese nigga Snickerdoodle nigga Snickers nigga Doorknob nigga Twix nigga Kit Kat nigga Nik Nak nigga [Verse 4] Polk-a-dot nigga Noel nigga No L's nigga Arby's nigga Kmart nigga Applebee's nigga Clamshell nigga AC ass nigga Floods nigga Rats nigga Deodorant nigga Stop & Shop nigga Aromajoe's nigga Hannaford's nigga",699661200321150996,#anime-manga,Spam
"[Verse 1] Taco Bell nigga Burger King nigga McDonald's nigga Wendy's nigga Sonic nigga Bread nigga Egg nigga Sausage nigga Sandwich nigga Tomato nigga Corn nigga Beef nigga Pasta nigga Ramen nigga Milk nigga Pig nigga Chicken nigga Zucchini nigga Cranberry nigga Strawberry nigga Cake nigga Bagel nigga Pancake nigga Door frame nigga Floor nigga For sale nigga AutoZone nigga Lampshade nigga Outlet nigga Hoverboard nigga [Verse 2] Nigga carpet Nigga hotel Nigga motel Nigga crayon Nigga marker (will you stop?) Nigga Elmer's Glue nigga [?] nigga Car nigga [Verse 3] Bike nigga Motorbike nigga Skateboard nigga Scooter nigga Lake nigga River nigga Fish nigga Shark nigga Zipper nigga Kick Buttowski nigga Courage the Dog nigga Codename: Kids Next Door nigga, uh Cabbage nigga Alex nigga Gunther nigga Iron nigga Copper nigga Swiss cheese nigga Snickerdoodle nigga Snickers nigga Doorknob nigga Twix nigga Kit Kat nigga Nik Nak nigga [Verse 4] Polk-a-dot nigga Noel nigga No L's nigga Arby's nigga Kmart nigga Applebee's nigga Clamshell nigga AC ass nigga Floods nigga Rats nigga Deodorant nigga Stop & Shop nigga Aromajoe's nigga Hannaford's nigga",699661200321150996,#anime-manga,Shitposting
,,,
Are you retarded,759379652338384946,#other-lfg-xbox,toxic
How stupid are you?,759379652338384946,#other-lfg-xbox,insult
"Does anyone wanna do b2b, I don't have b2b prepared myself cos i switched facilities but if u know how to do the glitch to also get the money and leave in time, I'd be down doing it",657937970921209856,#gta-online,LFG
 stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu stfu ,673329133928841240,#gta-online,Spam
who wants to grief with me,761982694056919071,#gta-online,LFG
Can someone plz start a casino heist for me and then add me username: doddyboiii_77,695625793929347144,#gta-online,LFG
Can anyone do it for me,629413140190461953,#gta-online,LFG
 if at all yall want some decent money just buy from digizani and buy the casino package so you dont get traced back cuz the transfer to your bank account is legit through rockstar,543675055054520320,#gta-online,Advertising
anyone down to kill noobs for kd?,761982694056919071,#gta-online,LFG
youd have to if people on mk 2 opressors who eat chips all day like fat idiots ike to blow harmless people up,543675055054520320,#gta-online,toxic
 we are not talking about griefers. pull your greasy forehead from over your eyes and read,812133428459733013,#gta-online,insult
any one  a modder i need money despratley,723515539556925452,#gta-online,LFG
Yo anyone willing to do heist with me lvl 20+,754967741173334056,#gta-online,LFG
Someone needs to invite me in an invite sesion only,629413140190461953,#gta-online,LFG
Does anyone wanna trade,592135544687951876,#gta-online,LFG
there is a boogie man under my bed help someone pls,404349412320608296,#gta-online,Shitposting
Who wants to hop on gta and wanan get it,803015827942015009,#gta-online,LFG
Who wants to trade,592135544687951876,#gta-online,LFG
https://tenor.com/view/despicable-me-box-of-shame-peek-look-embarrassed-gif-3954733,635307414819962880,#cayo-perico-lfg-playstation,Shitposting
Anyone wanna join my sandy shores rp?,705405182946574397,#gta-online,LFG
Who's gonna grind mc businesses this weekend ?,628943545176424458,#gta-online,LFG
Who here is racist,792093443031564288,#gta-online,Shitposting
